sheet,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
Year 2009-2010,489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,2009-12-01 09:06:00,1.25,13078.0,United Kingdom
Year 2009-2010,489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,32,2009-12-01 09:24:00,2.5,18102.0,United Kingdom
Year 2009-2010,489532,22077,6 RIBBONS RUSTIC CHARM,9,2009-12-01 11:58:00,1.65,13394.0,United Kingdom
Year 2009-2010,C489535,D,Discount,-1,2009-12-01 12:11:00,19.0,15299.0,United Kingdom
Year 2009-2010,489567,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2009-12-01 13:19:00,0.55,15326.0,United Kingdom
Year 2009-2010,489573,84946,ANTIQUE SILVER TEA GLASS ETCHED,30,2009-12-01 13:29:00,1.25,15051.0,United Kingdom
Year 2009-2010,489637,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,12,2009-12-01 15:36:00,2.55,17243.0,United Kingdom
Year 2009-2010,489792,22193,RED DINER WALL CLOCK,2,2009-12-02 12:06:00,8.5,14527.0,United Kingdom
Year 2009-2010,489814,21561,DINOSAUR LUNCHBOX WITH CUTLERY,2,2009-12-02 13:06:00,2.55,14669.0,United Kingdom
Year 2009-2010,489829,72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,24,2009-12-02 13:53:00,0.42,16525.0,United Kingdom
Year 2009-2010,489831,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,2009-12-02 13:58:00,2.1,12435.0,Denmark
Year 2009-2010,489855,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,1,2009-12-02 14:34:00,5.95,16987.0,United Kingdom
Year 2009-2010,489864,21733,RED HANGING HEART T-LIGHT HOLDER,32,2009-12-02 14:56:00,2.55,14987.0,United Kingdom
Year 2009-2010,489869,85049E,SCANDINAVIAN REDS RIBBONS,1,2009-12-02 15:15:00,1.25,16200.0,United Kingdom
Year 2009-2010,489872,20979,36 PENCILS TUBE RED SPOTTY,16,2009-12-02 15:28:00,1.25,15615.0,United Kingdom
Year 2009-2010,490012,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,12,2009-12-03 12:27:00,4.95,15179.0,United Kingdom
Year 2009-2010,490014,22070,SMALL RETRO SPOT MUG IN BOX  RED,6,2009-12-03 12:28:00,3.75,15466.0,United Kingdom
Year 2009-2010,490099,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3,2009-12-03 16:12:00,5.95,16736.0,United Kingdom
Year 2009-2010,490099,21691,SILVER VANILLA FLOWER CANDLE POT,4,2009-12-03 16:12:00,3.75,16736.0,United Kingdom
Year 2009-2010,C490120,21889,WOODEN BOX OF DOMINOES,-12,2009-12-03 17:52:00,1.25,14277.0,France
Year 2009-2010,490132,22273,FELTCRAFT DOLL MOLLY,1,2009-12-03 18:30:00,2.95,17343.0,United Kingdom
Year 2009-2010,490143,21917,SET 12 KIDS  WHITE CHALK STICKS,72,2009-12-04 08:40:00,0.42,14286.0,United Kingdom
Year 2009-2010,490143,22090,PAPER BUNTING RETRO SPOTS,12,2009-12-04 08:40:00,2.95,14286.0,United Kingdom
Year 2009-2010,490149,47504E,ENGLISH ROSE SCISSORS,1,2009-12-04 09:43:00,4.3,,United Kingdom
Year 2009-2010,490149,79341,WILLOW BRANCH LIGHTS.,1,2009-12-04 09:43:00,13.87,,United Kingdom
Year 2009-2010,490162,22258,FELT FARM ANIMAL RABBIT,1,2009-12-04 11:07:00,1.25,13946.0,United Kingdom
Year 2009-2010,490163,21933,PINK VINTAGE PAISLEY PICNIC BAG,3,2009-12-04 11:22:00,2.95,14723.0,United Kingdom
Year 2009-2010,490279,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,1,2009-12-04 12:37:00,0.85,16891.0,United Kingdom
Year 2009-2010,490299,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,2,2009-12-04 14:14:00,3.75,13680.0,United Kingdom
Year 2009-2010,490304,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6,2009-12-04 14:35:00,5.95,17593.0,United Kingdom
Year 2009-2010,490323,21635,MADRAS NOTEBOOK LARGE ,1,2009-12-04 15:27:00,3.75,14087.0,United Kingdom
Year 2009-2010,490388,21805,WHITE CHRISTMAS TREE DECORATION ,36,2009-12-05 15:00:00,0.42,16158.0,United Kingdom
Year 2009-2010,490502,79323W, WHITE CHERRY LIGHTS,1,2009-12-06 13:53:00,6.75,17969.0,United Kingdom
Year 2009-2010,C490509,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2009-12-06 14:34:00,8.5,15822.0,United Kingdom
Year 2009-2010,C490513,20973,12 PENCIL SMALL TUBE WOODLAND,-2,2009-12-06 14:58:00,0.65,17610.0,United Kingdom
Year 2009-2010,490516,21869,POTTING SHED COFFEE MUG,12,2009-12-06 15:09:00,1.06,17850.0,United Kingdom
Year 2009-2010,490519,21485,RED SPOT HEART HOT WATER BOTTLE,3,2009-12-06 15:15:00,4.95,13890.0,United Kingdom
Year 2009-2010,490681,20966,SANDWICH BATH SPONGE,2,2009-12-07 13:35:00,1.25,17988.0,United Kingdom
Year 2009-2010,490694,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2009-12-07 14:02:00,4.95,13089.0,United Kingdom
Year 2009-2010,490745,22338,STAR DECORATION PAINTED ZINC ,1,2009-12-07 18:02:00,1.3,,United Kingdom
Year 2009-2010,490808,35981C,WHITE SNOW SCANDINAVIAN STOCKING ,5,2009-12-08 12:25:00,1.25,17371.0,United Kingdom
Year 2009-2010,490921,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2009-12-08 13:24:00,2.1,16163.0,United Kingdom
Year 2009-2010,490926,22122,SET OF 2 FANCY FONT TEA TOWELS,1,2009-12-08 13:38:00,2.95,15031.0,United Kingdom
Year 2009-2010,490936,22305,COFFEE MUG PINK PAISLEY DESIGN,6,2009-12-08 13:56:00,2.55,12785.0,Portugal
Year 2009-2010,C490942,22125,UNION JACK HOT WATER BOTTLE ,-3,2009-12-08 14:04:00,5.95,14337.0,United Kingdom
Year 2009-2010,490964,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,2009-12-08 16:09:00,2.1,14646.0,Netherlands
Year 2009-2010,490978,21587,COSY HOUR GIANT TUBE MATCHES,4,2009-12-08 16:43:00,2.55,17329.0,United Kingdom
