customer_id,segment,last_order_date,days_since_last_order,n_orders,historical_value,projected_12m_value,transparent_clv_12m,revenue_at_stake
15749,At Risk,2011-04-18 13:20:00,235,3,44534.3,127179.67,171713.97,127179.67
14028,At Risk,2010-06-07 13:33:00,550,3,10396.5,124758.0,135154.5,124758.0
13902,Can't Lose,2010-03-17 13:09:00,632,5,34023.26,101496.65,135519.91,101496.65
16754,Can't Lose,2010-12-02 17:38:00,372,29,67502.47,82338.64,149841.11,82338.64
12346,At Risk,2011-01-18 10:01:00,325,3,77352.96,80165.05,157518.01,80165.05
12482,Can't Lose,2010-05-12 16:51:00,576,27,21941.72,71760.39,93702.11,71760.39
17850,Can't Lose,2010-12-02 15:27:00,372,155,56600.08,52678.91,109278.99,52678.91
14063,Can't Lose,2010-01-22 11:28:00,686,7,9471.5,45858.7,55330.2,45858.7
13093,Can't Lose,2011-03-09 12:14:00,275,55,54943.65,40918.91,95862.56,40918.91
17448,Can't Lose,2010-06-28 13:58:00,529,41,14481.97,36121.48,50603.45,36121.48
15413,Can't Lose,2010-01-17 11:33:00,691,5,6798.72,32067.57,38866.29,32067.57
12967,At Risk,2010-12-16 19:10:00,358,3,4306.92,28218.54,32525.46,28218.54
13935,At Risk,2010-04-22 11:21:00,596,3,6116.92,24865.69,30982.61,24865.69
14160,Can't Lose,2010-04-08 14:30:00,610,7,8421.47,22055.73,30477.2,22055.73
18026,At Risk,2010-07-27 10:37:00,500,2,2074.07,21282.85,23356.92,21282.85
14933,At Risk,2010-09-22 10:47:00,443,4,1770.0,20564.37,22334.37,20564.37
13734,At Risk,2010-07-19 12:04:00,508,4,6701.64,19206.6,25908.24,19206.6
17308,At Risk,2010-11-11 13:19:00,393,2,4511.76,18425.38,22937.14,18425.38
16812,Can't Lose,2010-12-14 12:35:00,360,4,2392.0,16568.78,18960.78,16568.78
13564,Can't Lose,2010-12-20 16:50:00,354,36,16630.8,14692.43,31323.23,14692.43
15808,Can't Lose,2011-02-06 14:33:00,306,21,18409.93,14540.83,32950.76,14540.83
15332,Can't Lose,2010-12-08 14:43:00,366,6,6553.74,13431.15,19984.89,13431.15
18214,Can't Lose,2010-06-27 11:21:00,530,4,1780.34,11945.24,13725.58,11945.24
16546,Can't Lose,2011-02-22 11:20:00,290,5,5606.47,11224.46,16830.93,11224.46
14134,Can't Lose,2010-11-22 12:26:00,382,15,11123.35,10764.18,21887.53,10764.18
12754,At Risk,2011-04-18 09:00:00,235,3,3010.74,10631.28,13642.02,10631.28
18087,Can't Lose,2011-02-22 10:43:00,290,16,13908.72,10618.23,24526.95,10618.23
15032,Can't Lose,2011-03-28 15:03:00,256,8,13780.65,9998.03,23778.68,9998.03
14025,Can't Lose,2010-09-01 10:11:00,464,8,4057.9,9892.07,13949.97,9892.07
15649,At Risk,2011-01-07 13:34:00,336,4,2170.35,9680.03,11850.38,9680.03
14685,Can't Lose,2010-05-12 13:08:00,576,8,4619.79,9351.59,13971.38,9351.59
15476,At Risk,2010-11-24 15:17:00,380,4,2209.98,8732.33,10942.31,8732.33
13952,Can't Lose,2011-05-06 09:00:00,217,14,12823.52,8731.29,21554.81,8731.29
15369,Can't Lose,2010-08-04 13:54:00,492,11,6251.26,8474.22,14725.48,8474.22
13206,Can't Lose,2010-11-04 16:50:00,400,13,8377.32,8442.33,16819.65,8442.33
16067,At Risk,2010-05-26 12:33:00,562,3,3395.29,8317.33,11712.62,8317.33
13440,Can't Lose,2010-10-12 13:11:00,423,7,1295.25,8095.66,9390.91,8095.66
13715,Can't Lose,2011-03-03 19:21:00,281,17,8483.29,7997.47,16480.76,7997.47
17814,At Risk,2010-11-29 14:21:00,375,2,1617.32,7628.42,9245.74,7628.42
16894,At Risk,2010-07-25 15:43:00,502,3,1324.06,7623.45,8947.51,7623.45
