cohort_month,months_since_acquisition,cohort_size,active_customers,retention_pct
2009-12-01,0,951,951,100.0
2009-12-01,1,951,333,35.02
2009-12-01,2,951,317,33.33
2009-12-01,3,951,404,42.48
2009-12-01,4,951,360,37.85
2009-12-01,5,951,342,35.96
2009-12-01,6,951,358,37.64
2009-12-01,7,951,327,34.38
2009-12-01,8,951,321,33.75
2009-12-01,9,951,344,36.17
2009-12-01,10,951,401,42.17
2009-12-01,11,951,472,49.63
2009-12-01,12,951,358,37.64
2009-12-01,13,951,268,28.18
2009-12-01,14,951,232,24.4
2009-12-01,15,951,288,30.28
2009-12-01,16,951,250,26.29
2009-12-01,17,951,288,30.28
2009-12-01,18,951,270,28.39
2009-12-01,19,951,246,25.87
2009-12-01,20,951,242,25.45
2009-12-01,21,951,298,31.34
2009-12-01,22,951,289,30.39
2009-12-01,23,951,386,40.59
2009-12-01,24,951,187,19.66
2010-01-01,0,368,368,100.0
2010-01-01,1,368,79,21.47
2010-01-01,2,368,118,32.07
2010-01-01,3,368,116,31.52
2010-01-01,4,368,100,27.17
2010-01-01,5,368,114,30.98
2010-01-01,6,368,99,26.9
2010-01-01,7,368,86,23.37
2010-01-01,8,368,105,28.53
2010-01-01,9,368,120,32.61
2010-01-01,10,368,114,30.98
2010-01-01,11,368,66,17.93
2010-01-01,12,368,84,22.83
2010-01-01,13,368,66,17.93
2010-01-01,14,368,72,19.57
2010-01-01,15,368,56,15.22
2010-01-01,16,368,90,24.46
2010-01-01,17,368,75,20.38
2010-01-01,18,368,71,19.29
2010-01-01,19,368,74,20.11
2010-01-01,20,368,93,25.27
2010-01-01,21,368,73,19.84
2010-01-01,22,368,93,25.27
2010-01-01,23,368,21,5.71
2010-02-01,0,375,375,100.0
2010-02-01,1,375,88,23.47
2010-02-01,2,375,85,22.67
2010-02-01,3,375,110,29.33
2010-02-01,4,375,92,24.53
2010-02-01,5,375,74,19.73
2010-02-01,6,375,72,19.2
2010-02-01,7,375,108,28.8
2010-02-01,8,375,96,25.6
2010-02-01,9,375,104,27.73
2010-02-01,10,375,43,11.47
2010-02-01,11,375,47,12.53
2010-02-01,12,375,57,15.2
2010-02-01,13,375,66,17.6
2010-02-01,14,375,46,12.27
2010-02-01,15,375,75,20.0
2010-02-01,16,375,60,16.0
2010-02-01,17,375,61,16.27
2010-02-01,18,375,54,14.4
2010-02-01,19,375,86,22.93
2010-02-01,20,375,86,22.93
2010-02-01,21,375,62,16.53
2010-02-01,22,375,22,5.87
2010-03-01,0,441,441,100.0
2010-03-01,1,441,84,19.05
2010-03-01,2,441,102,23.13
2010-03-01,3,441,107,24.26
2010-03-01,4,441,102,23.13
2010-03-01,5,441,90,20.41
2010-03-01,6,441,109,24.72
2010-03-01,7,441,135,30.61
2010-03-01,8,441,122,27.66
2010-03-01,9,441,48,10.88
2010-03-01,10,441,51,11.56
2010-03-01,11,441,64,14.51
2010-03-01,12,441,88,19.95
2010-03-01,13,441,72,16.33
2010-03-01,14,441,88,19.95
2010-03-01,15,441,75,17.01
2010-03-01,16,441,77,17.46
2010-03-01,17,441,69,15.65
2010-03-01,18,441,78,17.69
2010-03-01,19,441,90,20.41
2010-03-01,20,441,94,21.32
2010-03-01,21,441,34,7.71
2010-04-01,0,294,294,100.0
2010-04-01,1,294,56,19.05
2010-04-01,2,294,56,19.05
2010-04-01,3,294,47,15.99
2010-04-01,4,294,54,18.37
2010-04-01,5,294,65,22.11
2010-04-01,6,294,81,27.55
2010-04-01,7,294,78,26.53
2010-04-01,8,294,31,10.54
2010-04-01,9,294,32,10.88
2010-04-01,10,294,22,7.48
2010-04-01,11,294,41,13.95
2010-04-01,12,294,42,14.29
2010-04-01,13,294,46,15.65
2010-04-01,14,294,46,15.65
2010-04-01,15,294,46,15.65
2010-04-01,16,294,41,13.95
2010-04-01,17,294,44,14.97
2010-04-01,18,294,53,18.03
2010-04-01,19,294,67,22.79
2010-04-01,20,294,17,5.78
2010-05-01,0,255,255,100.0
2010-05-01,1,255,40,15.69
2010-05-01,2,255,43,16.86
2010-05-01,3,255,45,17.65
2010-05-01,4,255,45,17.65
2010-05-01,5,255,65,25.49
2010-05-01,6,255,54,21.18
2010-05-01,7,255,32,12.55
2010-05-01,8,255,15,5.88
2010-05-01,9,255,21,8.24
2010-05-01,10,255,29,11.37
2010-05-01,11,255,34,13.33
2010-05-01,12,255,39,15.29
2010-05-01,13,255,39,15.29
2010-05-01,14,255,25,9.8
2010-05-01,15,255,32,12.55
2010-05-01,16,255,35,13.73
2010-05-01,17,255,42,16.47
