cumulative_customer_pct,cumulative_revenue_pct
0.0171,3.49
0.0342,6.51
0.0513,8.25
0.0684,9.84
0.0854,11.26
0.1025,12.39
0.1196,13.39
0.1367,14.36
0.1538,15.2
0.1709,16.03
0.188,16.82
0.2051,17.49
0.2221,18.16
0.2392,18.81
0.2563,19.44
0.2734,19.97
0.2905,20.49
0.3076,21.0
0.3247,21.44
0.3418,21.88
0.3589,22.3
0.3759,22.71
0.393,23.1
0.4101,23.46
0.4272,23.83
0.4443,24.17
0.4614,24.5
0.4785,24.83
0.4956,25.15
0.5126,25.48
0.5297,25.8
0.5468,26.12
0.5639,26.42
0.581,26.72
0.5981,27.02
0.6152,27.29
0.6323,27.55
0.6494,27.81
0.6664,28.06
0.6835,28.29
0.7006,28.52
0.7177,28.75
0.7348,28.98
0.7519,29.2
0.769,29.42
0.7861,29.63
0.8031,29.84
0.8202,30.04
0.8373,30.24
0.8544,30.44
0.8715,30.63
0.8886,30.82
0.9057,31.01
0.9228,31.19
0.9398,31.38
0.9569,31.55
0.974,31.73
0.9911,31.89
1.0082,32.06
1.0253,32.22
1.0424,32.38
1.0595,32.54
1.0766,32.7
1.0936,32.86
1.1107,33.01
1.1278,33.16
1.1449,33.31
1.162,33.46
1.1791,33.61
1.1962,33.76
1.2133,33.91
1.2303,34.05
1.2474,34.2
1.2645,34.34
1.2816,34.48
1.2987,34.62
1.3158,34.75
1.3329,34.89
1.35,35.02
1.3671,35.15
1.3841,35.28
1.4012,35.41
1.4183,35.53
1.4354,35.66
1.4525,35.79
1.4696,35.92
1.4867,36.04
1.5038,36.17
1.5208,36.29
1.5379,36.42
1.555,36.54
1.5721,36.66
1.5892,36.78
1.6063,36.9
1.6234,37.02
1.6405,37.14
1.6576,37.26
1.6746,37.37
1.6917,37.49
1.7088,37.6
1.7259,37.71
1.743,37.82
1.7601,37.93
1.7772,38.04
1.7943,38.14
1.8113,38.25
1.8284,38.36
1.8455,38.46
1.8626,38.56
1.8797,38.67
1.8968,38.77
1.9139,38.87
1.931,38.97
1.9481,39.07
1.9651,39.17
1.9822,39.27
1.9993,39.37
2.0164,39.47
2.0335,39.57
2.0506,39.67
2.0677,39.77
2.0848,39.87
2.1018,39.96
2.1189,40.06
2.136,40.16
2.1531,40.25
2.1702,40.35
2.1873,40.44
2.2044,40.54
2.2215,40.63
2.2386,40.72
2.2556,40.82
2.2727,40.91
2.2898,41.0
2.3069,41.1
2.324,41.19
2.3411,41.28
2.3582,41.37
2.3753,41.47
2.3923,41.56
2.4094,41.65
2.4265,41.74
2.4436,41.83
2.4607,41.92
2.4778,42.01
2.4949,42.1
2.512,42.18
2.529,42.27
2.5461,42.35
2.5632,42.44
2.5803,42.52
2.5974,42.6
2.6145,42.69
2.6316,42.77
2.6487,42.85
2.6658,42.94
2.6828,43.02
2.6999,43.1
2.717,43.18
2.7341,43.26
2.7512,43.34
2.7683,43.42
2.7854,43.5
2.8025,43.58
2.8195,43.66
2.8366,43.74
2.8537,43.82
2.8708,43.9
2.8879,43.98
2.905,44.06
2.9221,44.13
2.9392,44.21
2.9563,44.29
2.9733,44.36
2.9904,44.44
3.0075,44.52
3.0246,44.59
3.0417,44.67
3.0588,44.74
3.0759,44.82
3.093,44.89
3.11,44.97
3.1271,45.04
3.1442,45.12
3.1613,45.19
3.1784,45.27
3.1955,45.34
3.2126,45.41
3.2297,45.49
3.2468,45.56
3.2638,45.63
3.2809,45.7
3.298,45.77
3.3151,45.85
3.3322,45.92
3.3493,45.99
3.3664,46.06
3.3835,46.13
3.4005,46.2
3.4176,46.27
3.4347,46.34
3.4518,46.41
3.4689,46.48
3.486,46.55
3.5031,46.62
3.5202,46.69
3.5373,46.76
3.5543,46.83
3.5714,46.9
3.5885,46.97
3.6056,47.04
3.6227,47.1
3.6398,47.17
3.6569,47.24
3.674,47.31
3.691,47.38
3.7081,47.44
3.7252,47.51
3.7423,47.58
3.7594,47.64
3.7765,47.71
3.7936,47.78
3.8107,47.84
3.8278,47.91
3.8448,47.97
3.8619,48.04
3.879,48.1
3.8961,48.17
3.9132,48.23
